source_id,price_level
13674019176068444493,2
13680749371081958227,1
13682310531779602071,2
13691732228091766132,1
13693455610973766554,1
13693532264925024798,2
13702372308639316228,1
13705573156825810375,1
1370626271265399910,1
13706592308527876862,1
13712338659667288956,1
13716270649385625802,1
13724768015477193096,2
13726493353374260429,1
13727810661074206222,2
13738210021568769310,2
13738286340326074449,1
1373896981932407496,1
13749157158642049209,1
13752049914735554787,1
13755021502991955139,2
13760606341960319661,1
13762433791952240772,1
13767914964560180054,1
13769912636653316561,1
13772006380757301726,2
13773177063364921766,1
13789434520544455826,1
1379121172748203353,1
13792281919588781415,1
13802812477050065104,2
13806185909254861455,2
13810663006938401625,2
13812273155995637036,2
13822515938444347579,1
13830492135517160875,1
13830502707959228145,2
13833113928360039397,1
13844140794474468081,1
13853662771903846269,2
13878061551913095528,1
13884206855490566031,2
13887779763383355877,1
13893793145859486871,1
13900671269565009652,2
13902252457698200326,1
13903460393951780103,1
13906214434750877481,1
1390769669250269784,2
139134303557214373,1
13919657975914205634,1
13920187219868261634,1
1392083318453486239,2
13933859484479788442,1
13937168718981788839,1
1394243567481993623,1
13945843631580586092,1
13950292093866649602,2
13954454746490652119,1
13954677702516335400,1
13967332645201696647,1
13975733119107374580,2
13981528909350974096,2
139823415330938030,1
13982667879841107744,1
13985788590989627525,1
14008005911526698430,1
14017359284053355414,2
14018219728270213257,2
14018684204296952356,1
14018746798705383142,1
14023893845280159977,2
14026600334043981626,1
14046387719142005202,1
14049730412871999349,1
14056554276860477134,1
14083550617193651809,2
14088645058935884391,2
14107967546201833583,1
14109068131794040059,2
14110934560291363400,1
14116045769226248694,1
14122040269011134062,1
14143914103347859533,2
14165057049206097268,1
14171618899357177741,3
14188476716431875007,2
14208300289947387842,1
14212363888905804356,2
142137003628060089,1
14220494530244473109,1
14227970234092334112,1
14232497636393223528,2
1423501059014216851,1
14236636734716337549,2
14246311895798158619,2
14246320536878414416,2
14248383375915183977,2
14256643473989096403,2
14259737807428563945,1
14264112092592697750,1
14265133996287019116,1
14269788608939081245,2
14270350633193158120,1
14272122150389248288,2
