source_row_index,place_id,custom_id,embedding_row,has_embedding,embedding_text_hash,error,usage_total_tokens
2792,13997331427716601215,location_2792_13997331427716601215,2792,True,,,
2793,1399773649259184528,location_2793_1399773649259184528,2793,True,,,
2794,14001457007476707836,location_2794_14001457007476707836,2794,True,,,
2795,14002474289964315721,location_2795_14002474289964315721,2795,True,,,
2796,14002848080482595823,location_2796_14002848080482595823,2796,True,,,
2797,14006029989196273092,location_2797_14006029989196273092,2797,True,,,
2798,14007370946990895803,location_2798_14007370946990895803,2798,True,,,
2799,14008005911526698430,location_2799_14008005911526698430,2799,True,,,
2800,14010176520847508429,location_2800_14010176520847508429,2800,True,,,
2801,14012239066638357193,location_2801_14012239066638357193,2801,True,,,
2802,14013200955064475702,location_2802_14013200955064475702,2802,True,,,
2803,14013879551667766675,location_2803_14013879551667766675,2803,True,,,
2804,14014470303866589413,location_2804_14014470303866589413,2804,True,,,
2805,14017359284053355414,location_2805_14017359284053355414,2805,True,,,
2806,14018219728270213257,location_2806_14018219728270213257,2806,True,,,
2807,14018684204296952356,location_2807_14018684204296952356,2807,True,,,
2808,14018746798705383142,location_2808_14018746798705383142,2808,True,,,
2809,14020816673834100995,location_2809_14020816673834100995,2809,True,,,
2810,14023893845280159977,location_2810_14023893845280159977,2810,True,,,
2811,1402452752298833862,location_2811_1402452752298833862,2811,True,,,
2812,14025970700088203692,location_2812_14025970700088203692,2812,True,,,
2813,14026600334043981626,location_2813_14026600334043981626,2813,True,,,
2814,14027618526298943767,location_2814_14027618526298943767,2814,True,,,
2815,14027854134510932993,location_2815_14027854134510932993,2815,True,,,
2816,14028294383463748761,location_2816_14028294383463748761,2816,True,,,
2817,14031064362864971783,location_2817_14031064362864971783,2817,True,,,
2818,14031397592671965757,location_2818_14031397592671965757,2818,True,,,
2819,14031775906850341455,location_2819_14031775906850341455,2819,True,,,
2820,14032543543303357051,location_2820_14032543543303357051,2820,True,,,
2821,14032988499968208853,location_2821_14032988499968208853,2821,True,,,
2822,14033904490926058114,location_2822_14033904490926058114,2822,True,,,
2823,140351970802246932,location_2823_140351970802246932,2823,True,,,
2824,14038344994933866629,location_2824_14038344994933866629,2824,True,,,
2825,14040309075333150090,location_2825_14040309075333150090,2825,True,,,
2826,14041354149527903105,location_2826_14041354149527903105,2826,True,,,
2827,14044185404280229817,location_2827_14044185404280229817,2827,True,,,
